Protein.IDs	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Fasta.headers	Number.of.proteins	Peptides	Razor...unique.peptides	Unique.peptides	Peptides.t1.1	Peptides.t1.2	Peptides.t1.3	Peptides.t1.4	Peptides.t2.1	Peptides.t2.2	Peptides.t2.3	Peptides.t2.4	Razor...unique.peptides.t1.1	Razor...unique.peptides.t1.2	Razor...unique.peptides.t1.3	Razor...unique.peptides.t1.4	Razor...unique.peptides.t2.1	Razor...unique.peptides.t2.2	Razor...unique.peptides.t2.3	Razor...unique.peptides.t2.4	Unique.peptides.t1.1	Unique.peptides.t1.2	Unique.peptides.t1.3	Unique.peptides.t1.4	Unique.peptides.t2.1	Unique.peptides.t2.2	Unique.peptides.t2.3	Unique.peptides.t2.4	Sequence.coverage....	Unique...razor.sequence.coverage....	Unique.sequence.coverage....	Mol..weight..kDa.	Sequence.length	Sequence.lengths	Q.value	Score	Identification.type.t1.1	Identification.type.t1.2	Identification.type.t1.3	Identification.type.t1.4	Identification.type.t2.1	Identification.type.t2.2	Identification.type.t2.3	Identification.type.t2.4	Sequence.coverage.t1.1....	Sequence.coverage.t1.2....	Sequence.coverage.t1.3....	Sequence.coverage.t1.4....	Sequence.coverage.t2.1....	Sequence.coverage.t2.2....	Sequence.coverage.t2.3....	Sequence.coverage.t2.4....	Intensity	Intensity.t1.1	Intensity.t1.2	Intensity.t1.3	Intensity.t1.4	Intensity.t2.1	Intensity.t2.2	Intensity.t2.3	Intensity.t2.4	LFQ.intensity.t1.1	LFQ.intensity.t1.2	LFQ.intensity.t1.3	LFQ.intensity.t1.4	LFQ.intensity.t2.1	LFQ.intensity.t2.2	LFQ.intensity.t2.3	LFQ.intensity.t2.4	MS.MS.Count.t1.1	MS.MS.Count.t1.2	MS.MS.Count.t1.3	MS.MS.Count.t1.4	MS.MS.Count.t2.1	MS.MS.Count.t2.2	MS.MS.Count.t2.3	MS.MS.Count.t2.4	MS.MS.Count	Only.identified.by.site	Reverse	Potential.contaminant	id	Peptide.IDs	Peptide.is.razor	Mod..peptide.IDs	Evidence.IDs	MS.MS.IDs	Best.MS.MS	Carbamidomethyl..C..site.IDs	Oxidation..M..site.IDs	Carbamidomethyl..C..site.positions	Oxidation..M..site.positions
sp|Q91VS7|MGST1_MOUSE	2	2	2		1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	220.26	1994	1994	0.0020332	3.3227	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	0	0	0	0	0	0	0	0	62356000	4520400	15348000	18085000	11537000	2439800	5784500	623430	4017800	0	0	0	0	0	0	0	2008900	0	1	1	0	1	1	0	2	6		+	NA	0	15120;17421	True;True	15514;17866	98467;98468;98469;98470;98471;98472;113540;113541;113542;113543;113544;113545;113546	133613;133614;155031;155032;155033;155034	133613;155032				
sp|Q8K224|NAT10_MOUSE	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	72.499	664	664	1	-2	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	0	0	0	0	0	0	0	0	225390000	9365500	21409000	38169000	36262000	20806000	29362000	26159000	43861000	0	0	0	0	0	0	0	43861000	0	0	1	0	0	0	0	0	1	+	+	NA	1	1758	TRUE	1793	11456;11457;11458;11459;11460;11461;11462;11463;11464	16209	16209		0		74
sp|Q8BH04|PCKGM_MOUSE	2	2	2		1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	572.28	5180	5180	0.0010688	3.9527	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	0	0	0	0	0	0	0	0	72103000	4118900	10859000	18929000	18981000	10843000	1383900	5543500	1443400	0	0	0	0	0	0	0	1443400	0	1	4	4	2	0	1	0	12		+	NA	2	8412;18330	True;True	8605;18806	55272;55273;55274;55275;55276;55277;119782;119783;119784;119785;119786;119787;119788;119789;119790;119791;119792;119793	77406;77407;77408;163564;163565;163566;163567;163568;163569;163570;163571;163572	77407;163572				
sp|Q9D5A9|RNS10_MOUSE	1	1	1		1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	346.45	3095	3095	0.0078329	2.8737	By matching	By matching	By matching	By MS/MS		By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	50585000	3384700	3653200	1934400	6111700	0	11171000	17330000	6999900	0	0	0	0	0	0	0	3499900	0	0	0	1	0	1	1	1	4		+	NA	3	18313	TRUE	18788	119667;119668;119669;119670;119671;119672;119673;119674;119675;119676;119677	163442;163443;163444;163445	163444				
sp|Q9CPT5|NOP16_MOUSE	1	1	1		1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	154.35	1401	1401	0.0075139	2.8806						By MS/MS	By MS/MS		0	0	0	0	0	0	0	0	140310000	0	0	0	0	0	82271000	58035000	0	0	0	0	0	0	0	58035000	0	0	0	0	0	0	1	3	0	4		+	NA	4	11077	TRUE	11319	72183;72184	99405;99406;99407;99408	99408				
sp|Q7TQK4|EXOS3_MOUSE	1	1	1		1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	11.186	97	97	0.0084388	2.8047		By matching			By MS/MS	By matching	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	143260000	0	1058800	0	0	47343000	14806000	52446000	27604000	0	0	0	0	0	0	0	13802000	0	0	0	0	1	0	2	2	5		+	NA	5	2557	TRUE	2609	16759;16760;16761;16762;16763;16764;16765;16766	24185;24186;24187;24188;24189	24186				
sp|Q9DCN2|NB5R3_MOUSE	2	2	2		1	2	2	2	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	1	0	0	0	149.58	1281	1281	0.0017112	3.4238	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	141110000	5369900	7313800	5325200	15867000	22026000	32027000	27507000	25670000	0	0	5325200	0	0	0	0	0	0	0	0	1	2	2	2	2	9		+	NA	6	4436;8231	True;True	4534;8420	28756;28757;28758;28759;28760;28761;28762;28763;28764;28765;53874;53875;53876;53877;53878	40151;40152;40153;40154;40155;40156;40157;40158;75497	40158;75497				
sp|P98078|DAB2_MOUSE	2	2	2		1	2	2	2	0	0	0	0	1	1	2	0	0	0	0	0	1	1	2	0	0	0	0	0	1	1	2	0	0	0	0	425.83	3678	3678	0.0033647	3.2227					By matching	By MS/MS	By MS/MS		0	0	0	0	0	0	0	0	7606100000	0	0	0	0	153940000	6213100000	1239100000	0	0	0	0	0	0	0	1239100000	0	0	0	0	0	0	1	1	0	2		+	NA	7	9503;9807	True;True	9715;10023	62518;64253;64254;64255;64256	86552;88937	86552;88937				
sp|Q8BXZ1|TMX3_MOUSE	1	1	1		1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	87.436	760	760	0.0099678	2.7138						By MS/MS			0	0	0	0	0	0	0	0	88984000	0	0	0	0	0	88984000	0	0	0	0	0	0	0	88984000	0	0	0	0	0	0	0	1	0	0	1		+	NA	8	7348	TRUE	7510	47840	66755	66755				
sp|O88312|AGR2_MOUSE	2	2	2		1	2	2	2	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	75.488	681	681	0.0043653	3.1793			By MS/MS	By MS/MS	By MS/MS				0	0	0	0	0	0	0	0	86476000	0	0	35196000	50221000	1059300	0	0	0	0	0	0	0	1059300	0	0	0	0	0	2	1	0	0	0	0	3		+	NA	9	2646;7387	True;True	2700;7549	17330;17331;17332;17333;48049	24877;24878;24879;67147	24879;67147				
